
AnimalID        Time              Event
100000    2014-08-04 19:37:57    Lever 1    
100000    2014-08-04 19:37:57    Lever 2    
100000    2014-08-04 19:37:58    Lever 1    
100000    2014-08-04 19:37:58    Lever 2    
100000    2014-08-04 19:37:58    Lever 1    
100000    2014-08-04 19:37:58    Lever 2    
100000    2014-08-04 19:37:58    Lever 1    
100000    2014-08-04 19:37:59    Lever 2    
100000    2014-08-04 19:37:59    Inject    
100000    2014-08-04 19:38:00    Lever 1    
100000    2014-08-04 19:38:00    Lever 2    
100000    2014-08-04 19:38:00    Lever 1    
100000    2014-08-04 19:38:00    Lever 2    
100000    2014-08-04 19:38:01    Lever 1    
100000    2014-08-04 19:38:01    Lever 2    
100000    2014-08-04 19:38:01    Lever 1    
100000    2014-08-04 19:38:01    Lever 2    
100000    2014-08-04 19:38:01    Lever 1    
100000    2014-08-04 19:38:02    Lever 2    
100000    2014-08-04 19:38:02    Lever 1    
100000    2014-08-04 19:38:02    Lever 2    
100000    2014-08-04 19:38:02    Lever 1    
